1000,8,45,15,11,30,45
1001,10,15,30,12,45,0
1002,13,0,0,16,20,10
1003,15,45,20,18,0,45
1004,18,30,10,21,15,30
1005,7,20,50,10,0,15
1006,9,0,30,11,30,0
1007,11,45,15,13,15,45
1008,14,30,20,16,0,30
1009,17,15,45,19,45,15
1010,20,0,0,22,30,0
1011,6,15,0,8,0,20
1012,8,45,30,10,30,45
1013,11,30,45,13,0,15
1014,14,15,10,16,45,10
1015,17,0,25,19,15,25
1016,19,45,35,21,30,35
1017,5,30,5,7,15,5
1018,8,15,15,9,45,45
1019,10,60,30,12,30,30
1020,13,45,40,15,15,40
1021,16,30,55,18,0,55
1022,19,15,0,20,45,0
1023,22,0,25,23,30,25
1024,4,45,50,6,30,50
1025,7,30,5,9,0,5
1026,10,15,10,11,45,10
1027,13,0,15,14,30,15
1028,15,45,20,17,15,20
1029,18,30,25,20,0,25
1030,21,15,30,22,45,30
1031,3,0,35,4,30,35
1032,5,45,40,7,15,40
1033,8,30,45,10,0,45
1034,11,15,50,12,45,50
1035,14,0,55,15,30,55
1036,16,45,0,18,15,0
1037,19,30,5,21,0,5
1038,22,15,10,23,45,10
1039,2,0,15,3,30,15
1040,4,45,20,6,15,20
1041,7,30,25,9,0,25
1042,10,15,30,11,45,30
1043,13,0,35,14,30,35
1044,15,45,40,17,15,40
1045,18,30,45,20,0,45
1046,21,15,50,22,45,50
1047,0,0,55,1,30,55
1048,2,45,0,4,15,0
1049,5,30,5,7,0,5
1050,8,15,10,9,45,10
1051,11,0,15,12,30,15
1052,13,45,20,15,15,20
1053,16,30,25,18,0,25
1054,19,15,30,20,45,30
1055,22,0,35,23,30,35
1056,3,45,40,5,15,40
1057,6,30,45,8,0,45
1058,9,15,50,10,45,50
1059,12,0,55,13,30,55
1060,14,45,0,16,15,0
1061,17,30,5,19,0,5
1062,20,15,10,21,45,10
1063,23,0,15,0,30,15
1064,1,45,20,3,15,20
1065,4,30,25,6,0,25
1066,7,15,30,8,45,30
1067,10,0,35,11,30,35
1068,12,45,40,14,15,40
1069,15,30,45,17,0,45
1070,18,15,50,19,45,50
1071,21,0,55,22,30,55
1072,23,45,0,1,15,0
1073,2,30,5,4,0,5
1074,5,15,10,6,45,10
1075,8,0,15,9,30,15
1076,10,45,20,12,15,20
1077,13,30,25,15,0,25
1078,16,15,30,17,45,30
1079,19,0,35,20,30,35
1080,21,45,40,23,15,40
